id	create_uid	sequence	write_uid	create_date	write_date	visite	tour_id	partner_id
1	1	2	1	2019-06-17 09:31:26	2019-06-17 11:08:11	non	52	57
2	1	1	1	2019-06-17 10:49:52	2019-06-17 11:08:11	oui	52	25
3	1	0	1	2019-06-17 12:46:41	2019-06-17 12:46:41	non	(null)	57
4	1	0	1	2019-06-17 12:58:10	2019-06-17 12:58:10	non	(null)	25
5	1	0	1	2019-06-17 13:07:36	2019-06-17 13:07:36	non	54	41
6	1	0	1	2019-06-17 13:08:17	2019-06-17 13:08:17	non	54	33
7	1	0	1	2019-06-17 13:08:35	2019-06-17 13:08:35	oui	54	24
9	1	0	1	2019-06-17 13:20:03	2019-06-17 13:20:03	non	55	35
8	1	0	1	2019-06-17 13:19:51	2019-06-17 14:36:01	oui	55	41
10	1	0	1	2019-06-17 14:50:08	2019-06-17 14:50:08	non	43	57
12	1	0	1	2019-06-18 06:51:28	2019-06-18 06:51:28	non	56	35
11	1	0	1	2019-06-18 06:51:28	2019-06-19 09:11:15	oui	56	57
19	1	0	1	2019-06-19 09:07:43	2019-06-19 09:12:45	oui	56	80
21	1	0	1	2019-06-19 09:15:19	2019-06-19 09:15:19	non	58	71
22	1	0	1	2019-06-19 09:15:19	2019-06-19 09:15:19	non	58	75
20	1	0	1	2019-06-19 09:15:19	2019-06-19 09:23:29	oui	58	80
